sex, from, grade, salary, cost, income, net_money, economic_pressure, cost_main, cost_way, electronic_option, luxury_option, game_option, music_option, star, financical_option, phone, computer, cream, email
Female, countryside, 3, 3186, 4200, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, zChTrE9@126.com
Female, countryside, 3, 2818, 4132, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 2zC7314P7@qq.com
Female, township, 2, 3362, 3033, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, 4TqRxzK@sina.com
Male, city, 1, 2802, 4007, 无, 花呗, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 0iVPtInt@sina.com
Male, city, 1, 2252, 1657, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 9AUIxf@sina.com
Female, countryside, 3, 4255, 6062, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, Lx6t0C6KiI@qq.com
Male, city, 1, 2913, 1003, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, z1SnYUeRpMg@126.com
Female, township, 2, 2776, 2526, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, xjP4StGe@sina.com
Female, township, 2, 5394, 2375, 无, 花呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, 0HXMPd@sina.com
Male, city, 1, 2193, 973, 父母给予, 信用卡, no, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, CNm4Hp5s@qq.com
Female, township, 2, 5588, 3052, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, 7N2tS@qq.com
Male, township, 2, 2996, 3197, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, qkoe7W@qq.com
Female, township, 2, 5265, 2982, 无, 花呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, C3H7STcv@qq.com
Female, countryside, 3, 5075, 3841, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, j4h2pdX@126.com
Male, city, 1, 1684, 2439, 副业, 信用卡, no, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, oUOr6mqSIx@126.com
Male, city, 1, 2714, 4580, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, 2GOUMmeXpt@126.com
Male, city, 1, 2536, 3715, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, P1NNox@qq.com
Male, city, 1, 2582, 2358, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, vh7WQwE5u@sina.com
Male, city, 1, 2089, 4172, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, b5a3yA@sina.com
Female, countryside, 3, 3697, 6188, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 7kt2EdB2r@163.com
Female, township, 2, 5048, 2711, 无, 节呗, no, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, M074d7@163.com
Male, city, 1, 2137, 3668, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, YIlV1xy@163.com
Female, countryside, 3, 5277, 3075, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, lJ123TXvIW@126.com
Male, city, 1, 2434, 990, 父母给予, 信用卡, yes, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, FIh1gK4Nh@sina.com
Male, city, 1, 1724, 3626, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, awv8OhXOl@163.com
Female, township, 2, 3732, 4314, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, IYQ3Bq@qq.com
Male, city, 2, 5204, 4461, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, Ww9m1qYd@126.com
Female, township, 2, 5127, 5175, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, d7QSh2l9@126.com
Male, city, 1, 2175, 1841, 父母给予, 信用卡, no, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, Uwd3w6oKc4@sina.com
Male, city, 1, 1630, 2433, 父母给予, 信用卡, yes, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, XyBaz2IhTAp@163.com
Female, township, 2, 4669, 4663, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, n3cMt0ci@126.com
Female, countryside, 3, 3956, 2572, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, xHd55L0@qq.com
Female, countryside, 3, 3557, 2051, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, 37Mc5@126.com
Male, city, 1, 2660, 3139, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, ALG6Avr@163.com
Female, countryside, 3, 5955, 4996, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, oR2ik94h0@163.com
Male, city, 2, 2319, 2669, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, jdNrSDZPh1@163.com
Female, township, 2, 5333, 3134, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, AZJ0Wjn3TWQ@163.com
Male, city, 2, 3513, 2677, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, 6qKCG@qq.com
Male, city, 1, 1606, 1147, 副业, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, TS7Aa@qq.com
Female, township, 2, 4901, 3806, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, GBt3Uu@126.com
Male, city, 1, 2212, 2437, 无, 花呗, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, u3xSs8@126.com
Male, city, 1, 2366, 1958, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 4MDI0b@sina.com
Female, township, 2, 3550, 2746, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, E1T7jQXjc@126.com
Male, city, 1, 2572, 3238, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, xkFG7U@qq.com
Male, city, 1, 2549, 4471, 父母给予, 信用卡, yes, cloth, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, rnQNgeW7@126.com
Male, city, 1, 2346, 946, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 2, 1, huawei, 联想, 普通品牌, 2nQrZ@qq.com
Male, city, 1, 2781, 2236, 父母给予, 信用卡, yes, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, ZdF2Q@126.com
Female, township, 2, 4058, 4629, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, Ri9Z3dK2aeU@126.com
Male, city, 1, 2092, 4241, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 0zEIxtdT@126.com
Female, township, 2, 2354, 2787, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, NWg2zo@sina.com
Male, city, 1, 1784, 2262, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, tHFW9@126.com
Female, countryside, 3, 4148, 1721, 无, 信用卡, no, other, offline, 3, 1, 3, 1, 2, 2, other, other, 高档品牌, FQVR7YBntry@126.com
Female, countryside, 3, 4574, 2757, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 0VBpg9XJz@163.com
Male, city, 1, 2582, 3393, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 5QK7Dmm@qq.com
Male, city, 1, 2732, 1724, 副业, 信用卡, no, cloth, online, 1, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, iiX3X@sina.com
Female, township, 2, 4064, 4259, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, qQ7xGd@sina.com
Female, countryside, 3, 5135, 5695, 无, 信用卡, yes, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, CDx10@qq.com
Male, city, 1, 1752, 1792, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 8XKz6OkwD@sina.com
Female, countryside, 3, 4660, 4005, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, xWk5uz8ImB@126.com
Male, city, 1, 1841, 2676, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, f5LZKGa1RXt@126.com
Female, countryside, 3, 3473, 4258, 无, 信用卡, no, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, hTlze22VL@163.com
Female, township, 2, 2820, 2338, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, O1j8SP0@qq.com
Male, city, 1, 2507, 3264, 父母给予, 信用卡, no, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, jih5P7MwNFY@sina.com
Male, city, 1, 2376, 997, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, DnaDtq1@sina.com
Male, city, 1, 1882, 3437, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 522LwRWtc@sina.com
Female, countryside, 3, 3061, 3165, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 79DibsBa@sina.com
Female, countryside, 3, 5443, 3607, 无, 无, no, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, BlJ8UWP8sZ@qq.com
Female, township, 2, 2959, 3106, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, Aay38DEt79n@sina.com
Male, city, 1, 1663, 1511, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, 6vRSsfk7bnP@126.com
Female, township, 2, 3845, 5576, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, 2ldBd4JK@sina.com
Male, city, 1, 2533, 2232, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, aC4FpuZ@163.com
Female, countryside, 3, 5031, 3327, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, plMqT5@163.com
Male, city, 1, 2521, 3708, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 33OJx2hTsrz@qq.com
Male, city, 1, 2785, 2806, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, 99YWirgM7@sina.com
Male, city, 1, 1865, 2306, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, hYrz60BL@qq.com
Female, township, 2, 4708, 5899, 无, 无, no, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, Vnm59kIC@qq.com
Male, city, 1, 2850, 2918, 无, 花呗, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, Ksd3BaPBG@sina.com
Female, countryside, 3, 3497, 4188, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, YKRx9j2@qq.com
Male, city, 1, 1629, 3374, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, IDYsE7y1F@sina.com
Male, city, 2, 2535, 4815, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, GDHXE1yNlh@126.com
Male, city, 1, 2144, 1411, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, SgiQ0J6r@sina.com
Female, countryside, 3, 3639, 4679, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, w1tVXRxq@163.com
Female, countryside, 3, 3777, 4561, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 高档品牌, 3H4WwKTG@sina.com
Male, city, 1, 2515, 2848, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, MUzJ5@sina.com
Female, countryside, 3, 3254, 6049, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 8N3wPcbzyBC@sina.com
Male, city, 1, 2480, 1975, 无, 花呗, no, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, Aq6tu4Pv7KO@qq.com
Female, township, 2, 4579, 2966, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, 3Ces4dXUR@126.com
Female, township, 2, 2589, 1781, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, WqVmseb0O1@163.com
Female, countryside, 3, 3734, 5292, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, XqUkm9fjHvG@163.com
Male, city, 1, 2356, 3237, 父母给予, 信用卡, no, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, 1gVpL@163.com
Male, city, 1, 2084, 4574, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 2, 1, huawei, 联想, 普通品牌, f213RQy7D@qq.com
Male, city, 1, 2516, 3362, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, 949TIUcD@126.com
Male, city, 1, 2852, 3640, 无, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, mo0Z59X@qq.com
Male, city, 1, 1920, 2482, 父母给予, 信用卡, yes, dict, online, 2, 3, 1, 2, 2, 1, huawei, 联想, 普通品牌, iym4rZ@qq.com
Female, countryside, 3, 4490, 6184, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, aIqKl0I@sina.com
Male, township, 2, 5131, 3474, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, nS1A9@126.com
Female, countryside, 3, 4143, 4627, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, erM4Ko0W@sina.com
Female, township, 2, 3709, 5622, 无, 无, yes, study, online, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, 6Cdt8r1YD@qq.com
Male, city, 1, 2453, 1750, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, l2ajOC@sina.com
Male, city, 1, 2065, 2720, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, xKaklNEVQL3@126.com
Male, city, 1, 1614, 2800, 无, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 6WpFb@qq.com
Female, township, 2, 5574, 3226, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, 3UzRlui@163.com
Male, city, 1, 1811, 3699, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, lC6VCx@126.com
Male, city, 2, 5126, 5286, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, T5R8YvCzU@163.com
Female, countryside, 3, 5149, 3656, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, Wta1R2YQla@sina.com
Male, city, 1, 2020, 3050, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, QJ2BxUjsz7@163.com
Male, city, 1, 1853, 1653, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 2JgvfwB@qq.com
Female, township, 2, 3358, 3535, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, uqD0BrjmcSp@163.com
Male, city, 1, 1678, 3297, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 1Fz9OBWSef@sina.com
Female, countryside, 3, 4652, 5248, 无, 信用卡, yes, other, offline, 3, 1, 3, 1, 2, 2, other, other, 高档品牌, GDO0LmnpD@163.com
Female, countryside, 3, 3283, 5817, 无, 信用卡, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, stq0FaZbPJ@qq.com
Male, city, 1, 2765, 1408, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, pcn6iO9ekE@126.com
Male, city, 1, 1781, 3496, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, 9262DAy3ly7@sina.com
Male, city, 1, 2479, 1728, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, 9mGMwnu@sina.com
Male, city, 1, 1822, 1011, 无, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 58PQtGz@126.com
Female, countryside, 3, 5071, 5325, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, jYIl3i@qq.com
Male, city, 1, 2865, 901, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, McMf24@126.com
Male, city, 1, 2925, 3688, 副业, 信用卡, no, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, KB4Cn@126.com
Male, city, 1, 2003, 4106, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, 2UjuB@sina.com
Male, city, 1, 1903, 3633, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, 8yGLvZ@sina.com
Female, township, 2, 4961, 5103, 无, 节呗, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, Sj2E9FJa@qq.com
Female, countryside, 3, 4244, 2315, 无, 无, no, study, offline, 3, 4, 2, 3, 2, 2, iphone, 华硕, 中档品牌, ljV8X@126.com
Female, township, 2, 2974, 4727, 无, 节呗, yes, funny, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 80qjG@126.com
Female, countryside, 3, 4474, 3358, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, 1HRtmoULP@163.com
Female, countryside, 3, 4647, 5114, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, qOa2eY8O4F@163.com
Female, township, 2, 4751, 5736, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, vBE4bS@qq.com
Female, township, 2, 3613, 3589, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 中档品牌, dFZ8vKB@126.com
Male, city, 1, 2959, 4534, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, KCu93ic2@163.com
Male, city, 1, 2944, 2412, 副业, 信用卡, no, cloth, online, 1, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, DXZaKzV7@qq.com
Male, city, 2, 3010, 4524, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, kdiWTe7@126.com
Male, city, 1, 1745, 3699, 信贷产品, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, njUI7w9GJq@126.com
Female, township, 2, 2820, 2983, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, YW1GwV@126.com
Female, township, 2, 2691, 4241, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 5E2OjxqM@126.com
Female, township, 2, 3476, 5599, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, B4gxZG6aw@163.com
Female, countryside, 3, 4550, 6160, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, V85nGTt9@qq.com
Female, countryside, 3, 2960, 6194, 无, 无, yes, elec, offline, 3, 4, 2, 3, 2, 2, iphone, 惠普, 中档品牌, Qz4Pg0o5I@163.com
Male, city, 1, 2027, 3252, 副业, 信用卡, no, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, gWB9FfD0@qq.com
Female, countryside, 3, 4488, 4845, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, AY9PCEpdF2M@sina.com
Male, city, 1, 1814, 1744, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, ar6WA@163.com
Male, city, 1, 2851, 3405, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 0rF849cSy@qq.com
Male, city, 1, 2847, 2170, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, uv9XA4@163.com
Male, city, 1, 1912, 3619, 父母给予, 信用卡, yes, cloth, online, 2, 2, 1, 1, 2, 1, huawei, 联想, 普通品牌, y4Oamtwv@126.com
Female, countryside, 3, 4412, 6197, 无, 无, no, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, HQ11Ugk@sina.com
Female, township, 2, 2816, 4493, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 2xMifWh@126.com
Male, city, 1, 2483, 1022, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, r0eeqMD1@qq.com
Female, countryside, 3, 3569, 2003, 无, 信用卡, yes, cream, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, q5NPljQ30Sv@qq.com
Female, township, 2, 4016, 2127, 无, 花呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, udY1J0j0@163.com
Male, city, 1, 2441, 1265, 父母给予, 信用卡, no, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, 7X3nc@126.com
Female, township, 2, 3113, 5304, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, N8zZvtzwZ@qq.com
Female, township, 2, 2659, 3557, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, Rw91eJZ@126.com
Female, countryside, 3, 3778, 5461, 无, 信用卡, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, other, 中档品牌, RfPCx3@126.com
Female, township, 2, 3151, 1516, 无, 美团月付, yes, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, 0A78pfHir@sina.com
Female, township, 2, 3927, 4257, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, xiaomi, 戴尔, 普通品牌, Nc5Zhq@163.com
Female, township, 2, 3342, 2907, 无, 花呗, yes, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, ad8QNl5621@qq.com
